Nom du fichier de données,Nom du dossier des requêtes, Nombre de triplets RDF, Nombre de requêtes, Temps de lecture des données (ms), Temps de lecture des requêtes (ms), Temps création dico (ms), Nombre d'index, Temps de création des index (ms),Temps total d'évaluation du workload (ms), Temps total (du début à la fin du programme) (ms)
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2377,408,287,6,724,36,2829
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2325,355,308,6,663,38,2727
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2486,422,280,6,795,30,2947
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2364,372,265,6,724,12,2758
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2416,452,277,6,712,36,2913
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2321,406,220,6,749,11,2746
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2338,405,266,6,707,34,2785
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2498,341,313,6,718,38,2885
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2300,422,339,6,670,30,2760
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2316,348,316,6,710,14,2686
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2332,410,273,6,680,32,2782
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2369,368,225,6,646,14,2760
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2366,422,231,6,747,36,2833
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2317,358,257,6,713,39,2723
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2422,437,254,6,777,30,2897
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2413,395,342,6,683,12,2830
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2364,420,322,6,669,34,2826
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2363,413,324,6,655,14,2797
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2582,422,391,6,866,34,3047
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2423,388,268,6,719,14,2834
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2441,391,297,6,726,30,2872
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2338,368,292,6,644,38,2753
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2346,427,232,6,676,35,2816
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2497,351,250,6,663,13,2869
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2355,428,229,6,782,33,2824
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2431,362,231,6,754,15,2817
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2410,427,250,6,718,35,2880
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2490,398,324,6,771,15,2913
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2374,372,256,6,741,31,2787
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2353,350,309,6,682,14,2725
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2321,418,269,6,667,31,2777
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2340,369,240,6,722,14,2731
./data/data/500K.rdf, ./distinctQueries.queryset,529580,6527,2341,388,344,6,685,62,2799
./data/data/500K.rdf, ./duplicateQueries.queryset,529580,6527,2325,337,216,6,733,15,2686
